Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2025-12-15,Tesla Inc,TSLA,stock,"25,98","0,054415504"
completada,2025-12-16,Dell Technologies Inc,DELL,stock,20,"0,149694996"
completada,2025-12-17,Tesla Inc,TSLA,stock,"22,98","0,046853673"
completada,2025-12-19,Advanced Micro Devices Inc,AMD,stock,"44,13","0,205697445"
completada,2025-12-22,NVIDIA Corp,NVDA,stock,20,"0,109334426"
completada,2025-12-23,NVIDIA Corp,NVDA,stock,"20,07","0,107255858"
completada,2025-12-26,NVIDIA Corp,NVDA,stock,20,"0,10426985"
completada,2026-01-02,Advanced Micro Devices Inc,AMD,stock,"37,04","0,165718636"
completada,2026-01-02,NVIDIA Corp,NVDA,stock,"31,99","0,167128009"
completada,2026-01-05,Tesla Inc,TSLA,stock,"34,93","0,076974675"
completada,2026-01-21,Advanced Micro Devices Inc,AMD,stock,"90,05","0,36769963"
