Status de compra,Fecha de compra,Nombre activo,Símbolo activo,Categoría activo,Aporte en dólares,Acciones compradas
completada,2024-04-26,Avis Budget Group Inc,CAR,stock,"10,00","0,0987908"
completada,2024-04-26,Amazon.com Inc,AMZN,stock,"10,00","0,055430528"
completada,2024-04-29,NVIDIA Corp,NVDA,stock,"10,00","0,011667658"
completada,2024-04-29,Alphabet Inc,GOOG,stock,"10,00","0,058846375"
completada,2024-04-29,Meta Platforms Inc,META,stock,"10,00","0,023147826"
completada,2024-04-29,Tesla Inc,TSLA,stock,"10,00","0,052186074"
completada,2024-04-30,Avis Budget Group Inc,CAR,stock,"10,00","0,101592977"
completada,2024-04-30,Tesla Inc,TSLA,stock,"10,00","0,053344713"
completada,2024-04-30,Avis Budget Group Inc,CAR,stock,"10,00","0,104121113"
completada,2024-04-30,Alphabet Inc,GOOG,stock,"10,00","0,060223549"
completada,2024-05-01,NVIDIA Corp,NVDA,stock,"10,00","0,012070355"
completada,2024-05-01,Advanced Micro Devices Inc,AMD,stock,"10,00","0,068392903"
completada,2024-05-02,Apple Inc,AAPL,stock,"10,00","0,05819841"
completada,2024-05-02,Dell Technologies Inc,DELL,stock,"10,00","0,083834945"
completada,2024-05-02,Tesla Inc,TSLA,stock,"10,00","0,055671847"
completada,2024-05-02,Advanced Micro Devices Inc,AMD,stock,"10,00","0,069975088"
completada,2024-05-02,Avis Budget Group Inc,CAR,stock,"10,10","0,091255714"
completada,2024-05-03,SPDR Gold Shares,GLD,etf,"20,00","0,094328054"
completada,2024-05-03,Tesla Inc,TSLA,stock,"10,00","0,055653877"
completada,2024-05-03,Avis Budget Group Inc,CAR,stock,"10,00","0,088043669"
completada,2024-05-06,SPDR Gold Shares,GLD,etf,"10,10","0,046920439"
completada,2024-05-06,Apple Inc,AAPL,stock,"10,00","0,055332381"
completada,2024-05-07,Tesla Inc,TSLA,stock,"10,00","0,055684248"
completada,2024-05-07,NVIDIA Corp,NVDA,stock,"10,00","0,011143501"
completada,2024-05-08,Tesla Inc,TSLA,stock,"10,00","0,057865012"
completada,2024-05-08,Avis Budget Group Inc,CAR,stock,"10,00","0,084001142"
completada,2024-05-09,Advanced Micro Devices Inc,AMD,stock,"10,00","0,06552307"
completada,2024-05-10,Alphabet Inc,GOOG,stock,"10,00","0,059054188"
completada,2024-05-10,Advanced Micro Devices Inc,AMD,stock,"10,00","0,0660127"
completada,2024-05-10,Tesla Inc,TSLA,stock,"10,00","0,059370435"
completada,2024-05-13,SPDR Gold Shares,GLD,etf,"10,35","0,047720482"
completada,2024-05-13,Dell Technologies Inc,DELL,stock,"10,00","0,075941676"
completada,2024-05-15,Tesla Inc,TSLA,stock,"10,00","0,057456735"
completada,2024-05-15,Amazon.com Inc,AMZN,stock,"10,00","0,054637046"
completada,2024-05-15,Avis Budget Group Inc,CAR,stock,"10,00","0,079497575"
completada,2024-05-15,Avis Budget Group Inc,CAR,stock,"10,00","0,081996785"
completada,2024-05-17,Meta Platforms Inc,META,stock,"30,00","0,063803179"
completada,2024-05-17,Avis Budget Group Inc,CAR,stock,"10,00","0,084507994"
completada,2024-05-20,Tesla Inc,TSLA,stock,"10,00","0,057317758"
completada,2024-05-21,Amazon.com Inc,AMZN,stock,"10,00","0,05512436"
completada,2024-05-21,Avis Budget Group Inc,CAR,stock,"10,00","0,08728136"
completada,2024-05-22,Tesla Inc,TSLA,stock,"10,00","0,055412713"
completada,2024-05-23,Avis Budget Group Inc,CAR,stock,"10,00","0,089966892"
completada,2024-05-23,Tesla Inc,TSLA,stock,"10,00","0,05653039"
completada,2024-05-23,Advanced Micro Devices Inc,AMD,stock,"10,00","0,061796294"
completada,2024-05-23,Apple Inc,AAPL,stock,"10,00","0,053029017"
